lat,lon,town,country_code,country,capital
-19.32556,-41.25528,Resplendor,BR,America,Sao_Paulo
33.95015,-118.03917,South Whittier,US,America,Los_Angeles
7.65649,4.92235,Efon-Alaaye,NG,Africa,Lagos
-19.32556,-41.25528,Resplendor,BR,America,Sao_Paulo
13.70167,-89.10944,Ilopango,SV,America,El_Salvador
22.88783,84.13864,Jashpurnagar,IN,Asia,Kolkata
43.86682,-79.2663,Markham,CA,America,Toronto
5.27247,-3.59625,Bonoua,CI,Africa,Abidjan
50.9803,11.32903,Weimar,DE,Europe,Berlin
43.50891,16.43915,Split,HR,Europe,Zagreb
20.88953,-156.47432,Kahului,US,Pacific,Honolulu
32.5007,-94.74049,Longview,US,America,Chicago
49.68369,8.61839,Bensheim,DE,Europe,Berlin
29.65163,-82.32483,Gainesville,US,America,New_York
36.08497,9.37082,Siliana,TN,Africa,Tunis
40.93121,-73.89875,Yonkers,US,America,New_York
-7.51611,109.05389,Wangon,ID,Asia,Jakarta
51.30001,13.10984,Oschatz,DE,Europe,Berlin
-21.44236,27.46153,Tonota,BW,Africa,Gaborone
41.15612,1.10687,Reus,ES,Europe,Madrid
-29.2975,-51.50361,Carlos Barbosa,BR,America,Sao_Paulo
48.35693,10.98461,Friedberg,DE,Europe,Berlin
52.53048,13.29371,Charlottenburg-Nord,DE,Europe,Berlin
43.82634,144.09638,Motomachi,JP,Asia,Tokyo
11.8659,34.3869,Ar Ruseris,SD,Africa,Khartoum
36.06386,4.62744,El Achir,DZ,Africa,Algiers
51.67822,33.9162,Hlukhiv,UA,Europe,Kiev
43.91452,-69.96533,Brunswick,US,America,New_York
34.75856,136.13108,Ueno-ebisumachi,JP,Asia,Tokyo
30.75545,20.22625,Ajdabiya,LY,Africa,Tripoli
23.29549,113.82465,Licheng,CN,Asia,Shanghai
52.47774,10.5511,Gifhorn,DE,Europe,Berlin
28.92694,78.23456,Bachhraon,IN,Asia,Kolkata
41.15612,1.10687,Reus,ES,Europe,Madrid
-32.45242,-71.23106,La Ligua,CL,America,Santiago
32.54044,-82.90375,Dublin,US,America,New_York
30.21121,74.4818,Malaut,IN,Asia,Kolkata
-6.8,39.25,Magomeni,TZ,Africa,Dar_es_Salaam
36.24624,139.07204,Fujioka,JP,Asia,Tokyo
44.92801,4.8951,Valence,FR,Europe,Paris
22.4711,88.1453,Pujali,IN,Asia,Kolkata
41.57439,24.71204,Smolyan,BG,Europe,Sofia
20.22816,-103.5687,Zacoalco de Torres,MX,America,Mexico_City
33.95015,-118.03917,South Whittier,US,America,Los_Angeles
-13.7804,34.4587,Salima,MW,Africa,Blantyre
37.49223,15.07041,Catania,IT,Europe,Rome
14.14989,121.3152,Calauan,PH,Asia,Manila
17.94979,-94.91386,Acayucan,MX,America,Mexico_City
-19.32556,-41.25528,Resplendor,BR,America,Sao_Paulo
